Condition,Area,M_Mean,M_Min,M_Max,M_Int_Den,M_Raw_Int_Den,A_Mean,A_Min,A_Max,A_Int_Den,A_Raw_Int_Den,M_A_Ratio
CHIP CON,NA,7491.293,4656,13744,84104752,84104752,10066.028,2416,34848,113011296,113011296,0.744215394592584
CHIP CON,NA,7491.293,4656,13744,84104752,84104752,12003.362,1936,45424,125855248,125855248,0.6240995647719364
CHIP CON,NA,7491.293,4656,13744,84104752,84104752,8002.561,2096,41632,109371008,109371008,0.9361119521613144
CHIP CON,NA,7491.293,4656,13744,84104752,84104752,12089.607,3952,33184,174694816,174694816,0.6196473549553762
CHIP CON,NA,7491.293,4656,13744,84104752,84104752,14014.122,2608,38960,286658864,286658864,0.5345531457482674
CHIP CON,NA,7800.309,5248,15392,81786240,81786240,10066.028,2416,34848,113011296,113011296,0.7749142958871166
CHIP CON,NA,7800.309,5248,15392,81786240,81786240,12003.362,1936,45424,125855248,125855248,0.6498436854607901
CHIP CON,NA,7800.309,5248,15392,81786240,81786240,8002.561,2096,41632,109371008,109371008,0.9747265906501682
CHIP CON,NA,7800.309,5248,15392,81786240,81786240,12089.607,3952,33184,174694816,174694816,0.6452078218919771
CHIP CON,NA,7800.309,5248,15392,81786240,81786240,14014.122,2608,38960,286658864,286658864,0.5566034746950256
CHIP CON,NA,7726.682,4800,60432,105600560,105600560,10066.028,2416,34848,113011296,113011296,0.767599891436821
CHIP CON,NA,7726.682,4800,60432,105600560,105600560,12003.362,1936,45424,125855248,125855248,0.6437098206319196
CHIP CON,NA,7726.682,4800,60432,105600560,105600560,8002.561,2096,41632,109371008,109371008,0.9655261609377298
CHIP CON,NA,7726.682,4800,60432,105600560,105600560,12089.607,3952,33184,174694816,174694816,0.6391177149100049
CHIP CON,NA,7726.682,4800,60432,105600560,105600560,14014.122,2608,38960,286658864,286658864,0.5513497028211971
CHIP CON,NA,8534.449,4912,34128,123322784,123322784,10066.028,2416,34848,113011296,113011296,0.8478467375612307
CHIP CON,NA,8534.449,4912,34128,123322784,123322784,12003.362,1936,45424,125855248,125855248,0.7110048834651492
CHIP CON,NA,8534.449,4912,34128,123322784,123322784,8002.561,2096,41632,109371008,109371008,1.066464722980556
CHIP CON,NA,8534.449,4912,34128,123322784,123322784,12089.607,3952,33184,174694816,174694816,0.705932707324564
CHIP CON,NA,8534.449,4912,34128,123322784,123322784,14014.122,2608,38960,286658864,286658864,0.6089892038901903
CHIP CON,NA,9441.526,5296,65504,193126416,193126416,10066.028,2416,34848,113011296,113011296,0.937959441400322
CHIP CON,NA,9441.526,5296,65504,193126416,193126416,12003.362,1936,45424,125855248,125855248,0.7865734616684893
CHIP CON,NA,9441.526,5296,65504,193126416,193126416,8002.561,2096,41632,109371008,109371008,1.1798130623434173
CHIP CON,NA,9441.526,5296,65504,193126416,193126416,12089.607,3952,33184,174694816,174694816,0.7809621933947067
CHIP CON,NA,9441.526,5296,65504,193126416,193126416,14014.122,2608,38960,286658864,286658864,0.6737151282113857
CHIP CON,NA,7124.239,4528,12208,55526320,55526320,6936.462,1680,17312,54062784,54062784,1.0270710053626761
